coor_ns;coor_ew;npd_id
58.988444;2.034167;147
58.935894;2.222239;332
58.813583;2.049014;84
58.865333;2.298922;2072
58.7982;2.153372;3279
58.7982;2.153372;3626
58.991097;2.295297;4767
58.991097;2.295297;4711
58.932953;2.128433;4928
58.835731;2.2351;5612
58.835731;2.2351;5613
58.835731;2.2351;6226
58.913344;2.202014;5773
58.854058;2.275236;5879
58.926708;2.185411;6157
58.926708;2.185411;6364
58.806258;2.264103;6166
58.854831;2.254944;6232
58.885911;2.202906;6399
58.873283;2.261472;6517
58.873283;2.261472;6593
58.913272;2.265172;6823
58.913272;2.265172;7095
58.838319;2.323144;7113
58.841142;2.289436;7314
58.906772;2.303928;7255
58.906789;2.303903;7256
58.928286;2.223047;7530
58.928286;2.223047;7529
58.906414;2.162058;7716
58.906414;2.162058;7720
58.906414;2.162058;7531
58.829739;2.282161;7532
58.779331;2.109725;7616
58.782528;2.25485;7775
58.922264;2.198064;7940
58.922264;2.198064;7915
58.838364;2.199108;8124
58.814303;2.270611;8357
58.972836;2.295608;8383
58.980753;2.2808;8749
58.980753;2.2808;8748
58.863194;2.303431;8758
58.863194;2.303431;8655
58.893108;2.357158;144
58.968831;2.502164;4408
58.883417;2.373417;5551
58.872639;2.390194;5625
58.814094;2.369736;6042
58.823683;2.615211;6374
58.779936;2.654522;6561
58.779936;2.654522;6711
58.815833;2.541833;6562
58.912886;2.439667;6615
58.854467;2.54375;6715
58.803628;2.5722;6742
58.803628;2.5722;6849
58.884519;2.488364;6952
58.832911;2.652872;7028
58.832911;2.652872;6888
58.840547;2.517261;6898
58.783358;2.559581;6979
58.850317;2.597375;7047
58.850317;2.597375;7107
58.804422;2.529453;7140
58.804422;2.529453;7175
58.804422;2.529453;7085
58.832389;2.464222;7220
58.903411;2.493808;7403
58.903411;2.493808;7456
58.9419;2.421839;7316
58.9419;2.421839;7181
58.777989;2.610769;7169
58.925972;2.409222;8084
58.925972;2.409222;8083
58.786911;2.792292;451
58.786889;2.792972;334
58.829108;2.972733;1415
58.803156;2.718972;6553
58.803156;2.718972;6629
58.775442;2.705164;7046
58.81885;2.703167;7182
58.806486;2.67435;7459
58.806486;2.67435;7302
58.638425;2.138064;229
58.596436;2.030008;1560
58.705142;2.064292;4194
58.53;2.149944;5441
58.728867;2.292275;6216
58.692733;2.231117;7098
58.527186;2.142889;7208
58.664811;2.273544;7415
